# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2302229	2303419	+					glpC		ECB_02169	1191		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2302229	2303419	+	ACT39826.1			sn-glycerol-3-phosphate dehydrogenase (anaerobic), small subunit	glpC		ECB_02169	1191	396	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2303612	2304514	+					yfaD		ECB_02170	903		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2303612	2304514	+	ACT39827.1			hypothetical protein	yfaD		ECB_02170	903	300	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2304555	2305358	-					yfaU		ECB_02171	804		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2304555	2305358	-	ACT39828.1			predicted 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	yfaU		ECB_02171	804	267	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2305376	2306665	-					yfaV		ECB_02172	1290		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2305376	2306665	-	ACT39829.1			predicted transporter	yfaV		ECB_02172	1290	429	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2306722	2307939	-					yfaW		ECB_02173	1218		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2306722	2307939	-	ACT39830.1			predicted enolase	yfaW		ECB_02173	1218	405	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2307942	2308724	-					yfaX		ECB_02174	783		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2307942	2308724	-	ACT39831.1			predicted DNA-binding transcriptional regulator	yfaX		ECB_02174	783	260	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2308944	2310146	-					yfaY		ECB_02175	1203		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2308944	2310146	-	ACT39832.1			competence damage-inducible protein A	yfaY		ECB_02175	1203	400	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2310246	2310788	-					yfaZ		ECB_02176	543		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2310246	2310788	-	ACT39833.1			predicted outer membrane porin protein	yfaZ		ECB_02176	543	180	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2311067	2311492	+					yfaO		ECB_02177	426		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2311067	2311492	+	ACT39834.1			predicted NUDIX hydrolase	yfaO		ECB_02177	426	141	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2311531	2312133	-					ais		ECB_02178	603		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2311531	2312133	-	ACT39835.1			hypothetical protein	ais		ECB_02178	603	200	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2312423	2313580	+					yfbE		ECB_02179	1158		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2312423	2313580	+	ACT39836.1			uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent	yfbE		ECB_02179	1158	385	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2313584	2314552	+					yfbF		ECB_02180	969		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2313584	2314552	+	ACT39837.1			undecaprenyl phosphate-L-Ara4FN transferase	yfbF		ECB_02180	969	322	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2314552	2316534	+					yfbG		ECB_02181	1983		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2314552	2316534	+	ACT39838.1			hypothetical protein	yfbG		ECB_02181	1983	660	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2316531	2317421	+					yfbH		ECB_02182	891		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2316531	2317421	+	ACT39839.1			hypothetical protein	yfbH		ECB_02182	891	296	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2317421	2319073	+					arnT		ECB_02183	1653		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2317421	2319073	+	ACT39840.1			4-amino-4-deoxy-L-arabinose transferase	arnT		ECB_02183	1653	550	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2319070	2319405	+					yfbW		ECB_02184	336		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2319070	2319405	+	ACT39841.1			hypothetical protein	yfbW		ECB_02184	336	111	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2319405	2319791	+					yfbJ		ECB_02185	387		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2319405	2319791	+	ACT39842.1			hypothetical protein	yfbJ		ECB_02185	387	128	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2319785	2320051	-					pmrD		ECB_02186	267		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2319785	2320051	-	ACT39843.1			polymyxin resistance protein B	pmrD		ECB_02186	267	88	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2320161	2321516	-					menE		ECB_02187	1356		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2320161	2321516	-	ACT39844.1			O-succinylbenzoic acid-CoA ligase	menE		ECB_02187	1356	451	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2321513	2322475	-					menC		ECB_02188	963		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2321513	2322475	-	ACT39845.1			O-succinylbenzoate synthase	menC		ECB_02188	963	320	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2322475	2323332	-					menB		ECB_02189	858		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2322475	2323332	-	ACT39846.1			naphthoate synthase	menB		ECB_02189	858	285	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2323347	2324105	-					yfbB		ECB_02190	759		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2323347	2324105	-	ACT39847.1			predicted peptidase	yfbB		ECB_02190	759	252	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2324102	2325772	-					menD		ECB_02191	1671		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2324102	2325772	-	ACT39848.1			2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	menD		ECB_02191	1671	556	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2325861	2327156	-					menF		ECB_02192	1296		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2325861	2327156	-	ACT39849.1			menaquinone-specific isochorismate synthase	menF		ECB_02192	1296	431	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2327235	2327540	-					elaB		ECB_02193	306		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2327235	2327540	-	ACT39850.1			hypothetical protein	elaB		ECB_02193	306	101	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2327595	2328056	-					elaA		ECB_02194	462		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2327595	2328056	-	ACT39851.1			predicted acyltransferase with acyl-CoA N-acyltransferase domain	elaA		ECB_02194	462	153	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2328121	2329038	+					elaC		ECB_02195	918		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2328121	2329038	+	ACT39852.1			ribonuclease Z	elaC		ECB_02195	918	305	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2329226	2330437	+					elaD		ECB_02196	1212		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2329226	2330437	+	ACT39853.1			predicted enzyme	elaD		ECB_02196	1212	403	
gene	pseudogene	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2330971	2331431	+					yfbL		ECB_02197	461		pseudo
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2331557	2332060	+					yfbM		ECB_02198	504		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2331557	2332060	+	ACT39854.1			hypothetical protein	yfbM		ECB_02198	504	167	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2332147	2332668	+							ECB_02199	522		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2332147	2332668	+	ACT39855.1			probably ISRSO11-transposase orfA protein			ECB_02199	522	173	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2332665	2333504	+							ECB_02200	840		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2332665	2333504	+	ACT39856.1			YadA protein			ECB_02200	840	279	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2333572	2334849	-					nuoN		ECB_02201	1278		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2333572	2334849	-	ACT39857.1			NADH dehydrogenase subunit N	nuoN		ECB_02201	1278	425	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2335036	2336565	-					nuoM		ECB_02202	1530		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2335036	2336565	-	ACT39858.1			NADH dehydrogenase subunit M	nuoM		ECB_02202	1530	509	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2336796	2338637	-					nuoL		ECB_02203	1842		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2336796	2338637	-	ACT39859.1			NADH dehydrogenase subunit L	nuoL		ECB_02203	1842	613	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2338634	2338936	-					nuoK		ECB_02204	303		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2338634	2338936	-	ACT39860.1			NADH dehydrogenase subunit K	nuoK		ECB_02204	303	100	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2338933	2339487	-					nuoJ		ECB_02205	555		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2338933	2339487	-	ACT39861.1			NADH dehydrogenase subunit J	nuoJ		ECB_02205	555	184	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2339499	2340041	-					nuoI		ECB_02206	543		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2339499	2340041	-	ACT39862.1			NADH dehydrogenase subunit I	nuoI		ECB_02206	543	180	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2340056	2341033	-					nuoH		ECB_02207	978		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2340056	2341033	-	ACT39863.1			NADH dehydrogenase subunit H	nuoH		ECB_02207	978	325	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2341030	2343762	-					nuoG		ECB_02208	2733		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2341030	2343762	-	ACT39864.1			NADH dehydrogenase subunit G	nuoG		ECB_02208	2733	910	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2343809	2345146	-					nuoF		ECB_02209	1338		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2343809	2345146	-	ACT39865.1			NADH:ubiquinone oxidoreductase, chain F	nuoF		ECB_02209	1338	445	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2345143	2345643	-					nuoE		ECB_02210	501		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2345143	2345643	-	ACT39866.1			NADH dehydrogenase subunit E	nuoE		ECB_02210	501	166	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2345646	2347448	-					nuoC		ECB_02211	1803		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2345646	2347448	-	ACT39867.1			NADH:ubiquinone oxidoreductase, chain C,D	nuoC		ECB_02211	1803	600	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2347542	2348204	-					nuoB		ECB_02212	663		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2347542	2348204	-	ACT39868.1			NADH dehydrogenase subunit B	nuoB		ECB_02212	663	220	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2348220	2348663	-					nuoA		ECB_02213	444		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2348220	2348663	-	ACT39869.1			NADH dehydrogenase subunit A	nuoA		ECB_02213	444	147	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2349294	2350232	-					lrhA		ECB_02214	939		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2349294	2350232	-	ACT39870.1			DNA-binding transcriptional repressor protein	lrhA		ECB_02214	939	312	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2351152	2352369	+					yfbQ		ECB_02215	1218		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2351152	2352369	+	ACT39871.1			aspartate aminotransferase	yfbQ		ECB_02215	1218	405	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2352453	2353052	+					yfbR		ECB_02216	600		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2352453	2353052	+	ACT39872.1			hypothetical protein	yfbR		ECB_02216	600	199	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2353111	2354943	-					yfbS		ECB_02217	1833		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2353111	2354943	-	ACT39873.1			predicted transporter	yfbS		ECB_02217	1833	610	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2355030	2355680	-					yfbT		ECB_02218	651		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2355030	2355680	-	ACT39874.1			predicted hydrolase or phosphatase	yfbT		ECB_02218	651	216	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2355691	2356185	-					yfbU		ECB_02219	495		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2355691	2356185	-	ACT39875.1			hypothetical protein	yfbU		ECB_02219	495	164	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2356268	2356723	-					yfbV		ECB_02220	456		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2356268	2356723	-	ACT39876.1			hypothetical protein	yfbV		ECB_02220	456	151	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2357062	2358264	+					ackA		ECB_02221	1203		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2357062	2358264	+	ACT39877.1			acetate kinase	ackA		ECB_02221	1203	400	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2358339	2360483	+					pta		ECB_02222	2145		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2358339	2360483	+	ACT39878.1			phosphate acetyltransferase	pta		ECB_02222	2145	714	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2360673	2362193	+					yfcC		ECB_02223	1521		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2360673	2362193	+	ACT39879.1			predicted inner membrane protein	yfcC		ECB_02223	1521	506	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2362226	2362768	-					yfcD		ECB_02224	543		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2362226	2362768	-	ACT39880.1			predicted NUDIX hydrolase	yfcD		ECB_02224	543	180	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2362826	2363380	-					yfcE		ECB_02225	555		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2362826	2363380	-	ACT39881.1			phosphodiesterase	yfcE		ECB_02225	555	184	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2363433	2364077	-					yfcF		ECB_02226	645		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2363433	2364077	-	ACT39882.1			predicted enzyme	yfcF		ECB_02226	645	214	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2364213	2364860	+					yfcG		ECB_02227	648		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2364213	2364860	+	ACT39883.1			predicted glutathione S-transferase	yfcG		ECB_02227	648	215	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2364917	2365279	+					folX		ECB_02228	363		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2364917	2365279	+	ACT39884.1			D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	folX		ECB_02228	363	120	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2365300	2366193	+					yfcH		ECB_02229	894		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2365300	2366193	+	ACT39885.1			conserved hypothetical protein with NAD(P)-binding Rossmann-fold domain	yfcH		ECB_02229	894	297	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2366241	2367131	-					yfcI		ECB_02230	891		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2366241	2367131	-	ACT39886.1			hypothetical protein	yfcI		ECB_02230	891	296	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2367328	2368101	-					hisP		ECB_02231	774		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2367328	2368101	-	ACT39887.1			histidine/lysine/arginine/ornithine transporter subunit	hisP		ECB_02231	774	257	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2368109	2368825	-					hisM		ECB_02232	717		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2368109	2368825	-	ACT39888.1			histidine/lysine/arginine/ornithine transporter subunit	hisM		ECB_02232	717	238	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2368822	2369508	-					hisQ		ECB_02233	687		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2368822	2369508	-	ACT39889.1			histidine/lysine/arginine/ornithine transporter subunit	hisQ		ECB_02233	687	228	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2369598	2370380	-					hisJ		ECB_02234	783		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2369598	2370380	-	ACT39890.1			histidine/lysine/arginine/ornithine transporter subunit	hisJ		ECB_02234	783	260	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2370601	2371383	-					argT		ECB_02235	783		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2370601	2371383	-	ACT39891.1			lysine/arginine/ornithine transporter subunit	argT		ECB_02235	783	260	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2371649	2372218	-					ubiX		ECB_02236	570		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2371649	2372218	-	ACT39892.1			3-octaprenyl-4-hydroxybenzoate carboxy-lyase	ubiX		ECB_02236	570	189	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2372313	2373830	-					purF		ECB_02237	1518		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2372313	2373830	-	ACT39893.1			amidophosphoribosyltransferase	purF		ECB_02237	1518	505	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2373867	2374355	-					cvpA		ECB_02238	489		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2373867	2374355	-	ACT39894.1			membrane protein required for colicin V production	cvpA		ECB_02238	489	162	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2374614	2375276	-					dedD		ECB_02239	663		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2374614	2375276	-	ACT39895.1			hypothetical protein	dedD		ECB_02239	663	220	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2375266	2376534	-					folC		ECB_02240	1269		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2375266	2376534	-	ACT39896.1			bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	folC		ECB_02240	1269	422	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2376604	2377518	-					accD		ECB_02241	915		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2376604	2377518	-	ACT39897.1			acetyl-CoA carboxylase subunit beta	accD		ECB_02241	915	304	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2377674	2378333	-					dedA		ECB_02242	660		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2377674	2378333	-	ACT39898.1			conserved inner membrane protein	dedA		ECB_02242	660	219	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2378416	2379228	-					truA		ECB_02243	813		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2378416	2379228	-	ACT39899.1			tRNA pseudouridine synthase A	truA		ECB_02243	813	270	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2379228	2380241	-					usg		ECB_02244	1014		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2379228	2380241	-	ACT39900.1			hypothetical protein	usg		ECB_02244	1014	337	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2380307	2381443	-					pdxB		ECB_02245	1137		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2380307	2381443	-	ACT39901.1			erythronate-4-phosphate dehydrogenase	pdxB		ECB_02245	1137	378	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2381542	2382537	+					flk		ECB_02246	996		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2381542	2382537	+	ACT39902.1			predicted flagella assembly protein	flk		ECB_02246	996	331	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2382534	2383712	-					yfcJ		ECB_02247	1179		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2382534	2383712	-	ACT39903.1			predicted transporter	yfcJ		ECB_02247	1179	392	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2383977	2385197	-					fabB		ECB_02248	1221		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2383977	2385197	-	ACT39904.1			3-oxoacyl-(acyl carrier protein) synthase	fabB		ECB_02248	1221	406	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2385356	2387362	+					yfcK		ECB_02249	2007		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2385356	2387362	+	ACT39905.1			hypothetical protein	yfcK		ECB_02249	2007	668	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2387483	2387761	-					yfcL		ECB_02250	279		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2387483	2387761	-	ACT39906.1			hypothetical protein	yfcL		ECB_02250	279	92	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2387795	2388343	-					yfcM		ECB_02251	549		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2387795	2388343	-	ACT39907.1			hypothetical protein	yfcM		ECB_02251	549	182	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2388343	2389152	-					yfcA		ECB_02252	810		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2388343	2389152	-	ACT39908.1			conserved inner membrane protein	yfcA		ECB_02252	810	269	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2389152	2389976	-					mepA		ECB_02253	825		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2389152	2389976	-	ACT39909.1			penicillin-insensitive murein endopeptidase	mepA		ECB_02253	825	274	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2389980	2391065	-					aroC		ECB_02254	1086		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2389980	2391065	-	ACT39910.1			chorismate synthase	aroC		ECB_02254	1086	361	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2391100	2392032	-					yfcB		ECB_02255	933		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2391100	2392032	-	ACT39911.1			N5-glutamine methyltransferase	yfcB		ECB_02255	933	310	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2392198	2392749	+					yfcN		ECB_02256	552		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2392198	2392749	+	ACT39912.1			hypothetical protein	yfcN		ECB_02256	552	183	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2392875	2393672	-					yfcO		ECB_02257	798		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2392875	2393672	-	ACT39913.1			hypothetical protein	yfcO		ECB_02257	798	265	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2393701	2394252	-					yfcP		ECB_02258	552		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2393701	2394252	-	ACT39914.1			predicted fimbrial-like adhesin protein	yfcP		ECB_02258	552	183	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2394249	2394728	-					yfcQ		ECB_02259	480		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2394249	2394728	-	ACT39915.1			predicted fimbrial-like adhesin protein	yfcQ		ECB_02259	480	159	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	2394725	2395231	-					yfcR		ECB_02260	507		
